'Bell.two_three_ordering' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Strengthened.parameter_score' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Strengthened.auxiliary_value' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Strengthened.locking_value' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Strengthened.value' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.strengthened_attainment' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.bellScore_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.bellScore_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.convex_projective_bound_of_raw' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.three_by_two_separation_of_projective_upper_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.no_strict_separation_of_equal_hulls' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.minimum_inputs_of_equality_theorems' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.main_claims_of_missing_theorems' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Transport.three_intervals' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Transport.exists_capacity_transport' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Transport.capacity_representation' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Transport.exists_transport' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Transport.Certificate.complement_nonnegative' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Transport.Certificate.diagonal_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Transport.Certificate.complement_row' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Transport.Certificate.complement_column' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Transport.Certificate.mass_first' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Transport.Certificate.mass_second' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Transport.Certificate.total_branch_mass' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Transport.Certificate.ternary_block' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Transport.Certificate.mixed_blocks' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.rankOneEndomorphism_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.dot_ray_basis' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.positive_weighted_ray_squares' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.secondForm_rankOne' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.nonzero_kernel_of_three_constraints' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.compatibilityMap_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.compatibility_rankOne' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.uphill_of_three_compatibilities' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.compatibility_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.compatibility_add_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.secondForm_add_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.normalized_uphill_of_three_compatibilities' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.polarEffect_hermitian' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.polarEffect_idempotent' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.polarEffect_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.polarEffect_complement' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.halfRoot_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.aux0_gram' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.aux1_gram' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.aux2_gram' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.aux0_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.aux1_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.aux2_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.auxiliary_normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.auxiliary_not_projective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.phi_gram' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.phi_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.phi_normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.phi_trace_tensor' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.alice_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.bob_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.alice_normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.bob_normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.witness_mem_raw' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.witness_mem_convex' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.witness_auxiliary_probabilities' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.witness_correlations' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.witness_value' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.physical_povm_value_above_numeric_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
